Column1;Column2
Text;Style
;
Я замер на месте, разглядывая пелену дыма. Нет, думал я, не из-за меня в долине и на равнине горят огни. Вряд ли вся эта возня затеяна, чтобы поймать и убить одного-единственного японского солдата. Должно быть, я по чистой случайности выбрал опасный маршрут и пересек местность, где филиппинцы жгут сигнальные костры.У меня отвратительно засосало под ложечкой. Но не мрачные картины гибели от рук партизан порождали во мне тревогу и беспокойство. Меня словно затягивало в таинственный водоворот, в котором странным образом перемешивались, расслаивались мои чувства, эмоции и ощущения. С тех пор как я покинул Японию, подобное состояние уже не раз овладевало мной. Я, например, прекрасно осознавал, что костры в долине были напрямую связаны с рыскавшими повсюду партизанами. Но ужас мне внушали не столбы дыма, а последовательность произошедших недавно событий и количество костров!Видимо, не что иное, как ощущение оторванности от всего человечества, порождало столь дикие, противоречащие здравому смыслу видения и образы.Пытаясь стряхнуть с себя болезненное наваждение, я занялся изучением местности и проверкой курса.По ширине лежавшей передо мной равнины я догадался, что она является частью той долины, в которую я и стремился попасть. Я напряг зрение: вдали, справа, вырисовывался силуэт скал, у подножия лепились несколько зданий. Госпиталь!Не мешкая, я отправился в путь. По крайней мере, избавлюсь от одиночества, обрету собеседников, с которыми можно будет перекинуться парой слов...Тропинка пересекала полосу горящей травы. Я свернул направо и по плечи погрузился в заросли тростника.;Художественный стиль
;
Записывая альбом, мы непрерывно находились в радостном, несколько испуганном возбуждении, жили на нервах. Большая, хитроумная, дико занимательная игрушка, вот что такое по сути студия, мы же в ней с непривычки робели. Весь этот месяц пролетел для нас словно на постоянном подогреве, хотя ничего такого мы не употребляли, ну разве что пустим перед сном косяк по кругу для расслабону, да еще та жутко длинная сессия, когда мы решили, что не разойдемся, пока не запишем «Ответ и вопрос», и пришлось глотать колеса, а то бы точно сломались.Теперь же, по возвращении домой, сумбурная реальность проведенного в Лондоне месяца стала казаться нам сумбурным сном. Мне приходилось раз за разом напоминать себе, что все это действительно было, а что до моих сожителей, они явно считали, что наша авантюра провалилась — либо я вообще все напридумывал. Мама непрерывно зундела, что пора бы мне подумать о хорошей, настоящей работе, — как то и положено (а она и не догадывалась) каждой порядочной родительнице восходящей рок-звезды.Деньги я тратил не то чтобы скупо, но благоразумно. После предварительной прикидки, сколько нужно отложить на налоги да сколько будет стоить столичная жизнь — а я почти не сомневался, что не сегодня завтра мы переберемся в Лондон, — моя доля перестала казаться такой уж огромной. Кроме того, меня сдерживало нечто вроде суеверия. Мне казалось, что начни я швырять деньгами направо и налево, добром это не кончится. Если не Бог, то судьба непременно возмутится и повернет все наоборот, долгожданный альбом с треском провалится. И не будет никаких синглов, группа распадется, или они найдут кого-нибудь другого, кто будет играть на басу и сочинять для них песни... Так что лучше сидеть и не чирикать. Тогда судьба ничего не заметит.;Художественный стиль
;
Он перенасыщен литературой. Литературы в нём больше, чем эритроцитов. Но внешний мир требует как раз эритроцитов, здоровых инстинктов. Митя тщательно мимикрирует. Умело матерится, говорит «тёлка», сплёвывает себе под ноги.Он тоже — как все — перестал общаться с Лапиным. И по этому поводу его мучает совесть. Как отрыжка после каннибализма. Дело в том, что Мите, говорящему по-русски с акцентом, и самому перепадает этой необъяснимой нелюбви — нелюбви вообще, в принципе, жестокой и раздражительной, как подслеповатый снайпер. (Он присматривался — москвичи все разные, а не любят их одинаково.) Митя русский. Ни четвертинки, ни осьмушки инородной крови. Но он грузинский русский, родился и вырос в Тбилиси.Окружающие любят порасчленять его: «Значит, ты не грузин? Папа-мама оба русские? Хм!» Почему именно, он не знает, но многим противны такие как он, русские с акцентом. Он в растерянности. Год назад он приехал в Россию за высшим образованием, поступил на геофак в Ростовский университет и отучился там курс. А теперь вот исполняет почётную обязанность каждого советского гражданина. И в общаге, и в казарме Митя чувствует себя чужаком — даже с теми, кто с ним дружит. С ним дружат как с чужаком. Как с иностранцем.Нужно что-то делать. Доказывать, что ты не верблюд — работа рутинная, требующая системы. В первую очередь Митя учится скрывать свой акцент. И выглядеть таким русским — уж руссее некуда. Ой ты гой еси, знаете ли, так вас и разэтак! Всё сложно как в дневнике шизофреника: от слова «зёма», обращённого к нему, делается хорошо и уютно, но слова «чурка», «черножопый», «косоглазый», «нерусь», — произнесенные в его присутствии, вгоняют его в краску.;Художественный стиль
;
Уже с первого взгляда, когда он вошел через тетушкину застекленную дверь, запрокинул по-птичьи голову и похвалил хороший запах нашего дома, я заметил в незнакомце что-то особенное, и первой моей наивной реакцией было отвращение. Я почувствовал (и моя тетка, человек, в отличие от меня, совсем не умственный, почувствовала примерно то же самое) — я почувствовал, что он болен, то ли как-то душевно, то ли какой-то болезнью характера, и свойственный здоровым инстинкт заставил меня обороняться. Со временем это оборонительное отношение сменилось симпатией, основанной на большом сочувствии к тому, кто так глубоко и долго страдал и чье внутреннее умирание происходило у меня на глазах. В этот период я все больше и больше осознавал, что болезнь этого страдальца коренится не в каких-то пороках его природы, а, наоборот, в великом богатстве его сил и задатков, не достигшем гармонии. Я понял, что Галлер — гений страдания, что он, в духе некоторых тезисов Ницше, выработал в себе гениальную, неограниченную, ужасающую способность к страданию. Одновременно я понял, что почва его пессимизма — не презрение к миру, а презрение к себе самому, ибо, при всей уничтожающей беспощадности его суждений о заведенных порядках или о людях, он никогда не считал себя исключением, свои стрелы он направлял в первую очередь в себя самого, он ненавидел и отрицал себя самого в первую очередь...;Художественный стиль
;
