Text;Style
Я замер на месте, разглядывая пелену дыма. Нет, думал я, не из-за меня в долине и на равнине горят огни. Вряд ли вся эта возня затеяна, чтобы поймать и убить одного-единственного японского солдата. Должно быть, я по чистой случайности выбрал опасный маршрут и пересек местность, где филиппинцы жгут сигнальные костры.У меня отвратительно засосало под ложечкой. Но не мрачные картины гибели от рук партизан порождали во мне тревогу и беспокойство. Меня словно затягивало в таинственный водоворот, в котором странным образом перемешивались, расслаивались мои чувства, эмоции и ощущения. С тех пор как я покинул Японию, подобное состояние уже не раз овладевало мной. Я, например, прекрасно осознавал, что костры в долине были напрямую связаны с рыскавшими повсюду партизанами. Но ужас мне внушали не столбы дыма, а последовательность произошедших недавно событий и количество костров!Видимо, не что иное, как ощущение оторванности от всего человечества, порождало столь дикие, противоречащие здравому смыслу видения и образы.Пытаясь стряхнуть с себя болезненное наваждение, я занялся изучением местности и проверкой курса.По ширине лежавшей передо мной равнины я догадался, что она является частью той долины, в которую я и стремился попасть. Я напряг зрение: вдали, справа, вырисовывался силуэт скал, у подножия лепились несколько зданий. Госпиталь!Не мешкая, я отправился в путь. По крайней мере, избавлюсь от одиночества, обрету собеседников, с которыми можно будет перекинуться парой слов...Тропинка пересекала полосу горящей травы. Я свернул направо и по плечи погрузился в заросли тростника.;Художественный стиль
Записывая альбом, мы непрерывно находились в радостном, несколько испуганном возбуждении, жили на нервах. Большая, хитроумная, дико занимательная игрушка, вот что такое по сути студия, мы же в ней с непривычки робели. Весь этот месяц пролетел для нас словно на постоянном подогреве, хотя ничего такого мы не употребляли, ну разве что пустим перед сном косяк по кругу для расслабону, да еще та жутко длинная сессия, когда мы решили, что не разойдемся, пока не запишем «Ответ и вопрос», и пришлось глотать колеса, а то бы точно сломались.Теперь же, по возвращении домой, сумбурная реальность проведенного в Лондоне месяца стала казаться нам сумбурным сном. Мне приходилось раз за разом напоминать себе, что все это действительно было, а что до моих сожителей, они явно считали, что наша авантюра провалилась — либо я вообще все напридумывал. Мама непрерывно зундела, что пора бы мне подумать о хорошей, настоящей работе, — как то и положено (а она и не догадывалась) каждой порядочной родительнице восходящей рок-звезды.Деньги я тратил не то чтобы скупо, но благоразумно. После предварительной прикидки, сколько нужно отложить на налоги да сколько будет стоить столичная жизнь — а я почти не сомневался, что не сегодня завтра мы переберемся в Лондон, — моя доля перестала казаться такой уж огромной. Кроме того, меня сдерживало нечто вроде суеверия. Мне казалось, что начни я швырять деньгами направо и налево, добром это не кончится. Если не Бог, то судьба непременно возмутится и повернет все наоборот, долгожданный альбом с треском провалится. И не будет никаких синглов, группа распадется, или они найдут кого-нибудь другого, кто будет играть на басу и сочинять для них песни... Так что лучше сидеть и не чирикать. Тогда судьба ничего не заметит.;Художественный стиль
Он перенасыщен литературой. Литературы в нём больше, чем эритроцитов. Но внешний мир требует как раз эритроцитов, здоровых инстинктов. Митя тщательно мимикрирует. Умело матерится, говорит «тёлка», сплёвывает себе под ноги.Он тоже — как все — перестал общаться с Лапиным. И по этому поводу его мучает совесть. Как отрыжка после каннибализма. Дело в том, что Мите, говорящему по-русски с акцентом, и самому перепадает этой необъяснимой нелюбви — нелюбви вообще, в принципе, жестокой и раздражительной, как подслеповатый снайпер. (Он присматривался — москвичи все разные, а не любят их одинаково.) Митя русский. Ни четвертинки, ни осьмушки инородной крови. Но он грузинский русский, родился и вырос в Тбилиси.Окружающие любят порасчленять его: «Значит, ты не грузин? Папа-мама оба русские? Хм!» Почему именно, он не знает, но многим противны такие как он, русские с акцентом. Он в растерянности. Год назад он приехал в Россию за высшим образованием, поступил на геофак в Ростовский университет и отучился там курс. А теперь вот исполняет почётную обязанность каждого советского гражданина. И в общаге, и в казарме Митя чувствует себя чужаком — даже с теми, кто с ним дружит. С ним дружат как с чужаком. Как с иностранцем.Нужно что-то делать. Доказывать, что ты не верблюд — работа рутинная, требующая системы. В первую очередь Митя учится скрывать свой акцент. И выглядеть таким русским — уж руссее некуда. Ой ты гой еси, знаете ли, так вас и разэтак! Всё сложно как в дневнике шизофреника: от слова «зёма», обращённого к нему, делается хорошо и уютно, но слова «чурка», «черножопый», «косоглазый», «нерусь», — произнесенные в его присутствии, вгоняют его в краску.;Художественный стиль
Уже с первого взгляда, когда он вошел через тетушкину застекленную дверь, запрокинул по-птичьи голову и похвалил хороший запах нашего дома, я заметил в незнакомце что-то особенное, и первой моей наивной реакцией было отвращение. Я почувствовал (и моя тетка, человек, в отличие от меня, совсем не умственный, почувствовала примерно то же самое) — я почувствовал, что он болен, то ли как-то душевно, то ли какой-то болезнью характера, и свойственный здоровым инстинкт заставил меня обороняться. Со временем это оборонительное отношение сменилось симпатией, основанной на большом сочувствии к тому, кто так глубоко и долго страдал и чье внутреннее умирание происходило у меня на глазах. В этот период я все больше и больше осознавал, что болезнь этого страдальца коренится не в каких-то пороках его природы, а, наоборот, в великом богатстве его сил и задатков, не достигшем гармонии. Я понял, что Галлер — гений страдания, что он, в духе некоторых тезисов Ницше, выработал в себе гениальную, неограниченную, ужасающую способность к страданию. Одновременно я понял, что почва его пессимизма — не презрение к миру, а презрение к себе самому, ибо, при всей уничтожающей беспощадности его суждений о заведенных порядках или о людях, он никогда не считал себя исключением, свои стрелы он направлял в первую очередь в себя самого, он ненавидел и отрицал себя самого в первую очередь...;Художественный стиль
"Наша гимназическая форма, имитировавшая мундир морского офицера, на узких ребячьих плечах смотрелась довольно убого, и лишь одному Оми она была впору. В этом синем наряде он так и излучал мужественную силу и чувственность. Уверен, что не я один с завистью и обожанием смотрел на эту великолепную мускулатуру, проступавшую под тонкой саржевой тканью.Лицо Оми постоянно выражало какое-то угрюмое превосходство. Наверное, это было следствием уязвленной гордости. Я воображал, что провалы на экзаменах, изгнание из пансиона и прочие удары судьбы воспринимались им как олицетворение некой загадочной и всевластной силы. Что это была за сила? Мне смутно грезилось, что ее породило зло, живущее в душе Оми, который пока и сам не догадывается, какой мощный заговор против него зреет в его собственном сердце.Лицо у Оми было смугловатое, круглое, с надменно выступающими скулами, небольшим, но мясистым, хорошей формы носом, точеной линией рта и мужественным подбородком; одного взгляда на эти черты хватало, чтобы почувствовать, как мощен и стремителен ток крови в теле Оми. Под таким обличьем могла скрываться только дикая, неукрощенная душа. Разве можно было ожидать от человека с подобным лицом какой-то насыщенной внутренней жизни? Но зато он наверняка обладал непостижимым совершенством, когда-то доступным людям, но оставленным ими в далеком прошлом.Иногда Оми от нечего делать подходил и заглядывал мне через плечо в книгу — а книги я читал все больше мудреные и моему возрасту мало подходившие. Я немедленно с извиняющейся улыбкой захлопывал книгу. Не от смущения, нет. Я боялся, что, затеяв разговор о литературе, Оми продемонстрирует полное невежество и тем самым нанесет ущерб собственному совершенству, так мало им сознаваемому.";Художественный стиль
"Семена будущего сволочного мира прорастали еще в самой толще войны.Чтобы угадать, какой станет наша жизнь, эта истеричка, достаточно было посмотреть, как она неистовствует в кабаке «Олимпия». Внизу, в длинном подвале-дансинге, искоса подглядывавшем за тобой сотней зеркал, она трепыхалась в пыли и отчаянии под негро-иудео-саксонскую музыку. Британцы вперемешку с черными. Повсюду на алых диванах курили и орали меланхоличные и воинственные левантинцы и русские. Их мундиры, полустершиеся теперь в нашей памяти, были ростками сегодняшнего дня, который покамест все еще созревает, но мало-помалу тоже превратится в кучу перегноя.Каждую неделю, раздразнив в себе вожделение несколькими часами, проведенными в «Олимпии», мы всей компанией отправлялись с визитом к нашей бельевщице, перчаточнице и книгопродавщице мадам Эрот в тупике Березина за «Фоли-Бержер»; теперь его больше не существует, а тогда девочки выводили туда собачек на поводке делать свои дела.Мы ходили к ней искать на ощупь свое счастье, которому яростно угрожал весь мир. Желаний своих мы, конечно, стыдились, но привередничать не приходилось. Отказываться от любви еще трудней, чем от жизни. В этом мире так уж повелось: то убиваешь, то любишь — и все разом. «Я тебя ненавижу! Я тебя обожаю!» Ты защищаешься, тешишь себя надеждой и отчаянно силишься любой ценой передать жизнь двуногому существу следующего века, словно так уж неописуемо приятно знать, что у тебя будет продолжение и это, в конечном счете, обеспечит тебе вечность. Целоваться — как почесываться: хочется во что бы то ни стало.";Художественный стиль
"С мучительным волнением я собрал все необходимое, чтобы зажечь жизнь в бесчувственном создании, лежавшем у моих ног. Был час пополуночи; дождь уныло стучал в оконное стекло; свеча почти догорела; и вот при ее неверном свете я увидел, как открылись тусклые желтые глаза; существо начало дышать и судорожно подергиваться.Как описать мои чувства при этом ужасном зрелище, как изобразить несчастного, созданного мною с таким неимоверным трудом? А между тем члены его были соразмерны, и я подобрал для него красивые черты. Красивые — Боже великий! Желтая кожа слишком туго обтягивала его мускулы и жилы; волосы были черные, блестящие и длинные, а зубы белые как жемчуг; но тем страшнее был их контраст с водянистыми глазами, почти неотличимыми по цвету от глазниц, с сухой кожей и узкой прорезью черного рта.Нет в жизни ничего переменчивее наших чувств. Почти два года я трудился с единственной целью — вдохнуть жизнь в бездыханное тело. Ради этого я лишил себя покоя и здоровья. Я желал этого с исступленной страстью; а теперь, когда я окончил свой труд, вся прелесть мечты исчезла, и сердце мое наполнилось несказанным ужасом и отвращением. Не в силах вынести вида своего творения, я кинулся вон из комнаты и долго шагал по своей спальне, чувствуя, что не смогу заснуть. Наконец мое волнение сменилось усталостью, и я, одетый, бросился на постель, надеясь ненадолго забыться. Но напрасно; мне, правда, удалось заснуть, но я увидел во сне кошмар: прекрасная и цветущая Элизабет шла по улице Ингольштадта. Я в восхищении обнял ее, но едва успел запечатлеть поцелуй на ее губах, как они помертвели, черты ее изменились, и вот уже я держу в объятиях труп моей матери; тело ее окутано саваном, и в его складках копошатся могильные черви.";Художественный стиль
Появились новые правила: все двери, кроме главного входа, после начала уроков закрывались, несмотря на то что какой-нибудь ученик с оружием мог уже быть внутри. С рюкзаками в класс больше не пускали, хотя оружие можно спрятать под курткой, или в маленькой сумке, или даже в застегнутой на молнию папке для бумаг. Все — и учителя, и ученики — носили на шее удостоверения. Полагалось, что так будет видно, кто есть, а кого нет, но Джози не могла избавиться от мысли, что таким образом в следующий раз можно будет легко определить личность убитых.На линейке директор подошел к микрофону и поприветствовал всех в Стерлинг Хай, хотя они вернулись и не в Стерлинг Хай. Потом объявил минуту молчания.В то время, как остальные ребята во время минуты молчания опустили головы, Джози посмотрела вокруг. Она была не единственной, кто не молился. Некоторые ученики обменивались записками. Несколько человек слушали плеер. Какой-то мальчик списывал домашнее задание по математике.Боятся ли они, как и она, поминать погибших, чтобы не чувствовать себя еще более виноватыми?Джози повернулась и ударилась коленом о парту. Парты и стулья в этой временной школе были для младших школьников, а не для беженцев-подростков. В результате, никто не помещался. Колени Джози были на уровне подбородка. Некоторые ребята не смогли даже сесть за парту, им приходилось писать, держа тетрадки на коленях.;Художественный стиль
"Я еще быстрее зашагал по пустынным улицам и площадям. И, выбившись из сил, остановился на углу. Я увидел многострадальную железную решетку; за ней — черно-белый плитчатый пол портика монастыря Непорочного Зачатия. И понял, что очертил полный круг и снова оказался в десяти шагах от альмасена, где мне дали Захир.Я свернул за угол и издали по темноте, окутывавшей дом, догадался, что лавка заперта. На улице Бельграно я взял такси. Спать совсем не хотелось; одержимо, чувствуя себя почти счастливым, я думал о том, что нет не свете вещи менее материальной, нежели деньги, ибо любая монета (скажем, монета в двадцать сентаво) на деле представляет собой целый набор всевозможных вариантов будущего. Деньги абстрактны, твердил я, деньги — это то, что будет. Они могут стать загородной поездкой, а могут — музыкой Брамса, могут обратиться картой, а могут — шахматами, или чашкой кофе, или поучением Эпиктета о презрении к золоту; это Протей еще более переменчивый, чем Протей с острова Фарос. Это время, которое невозможно предвидеть, время Бергсона, а не жесткое время Ислама или стоиков. Детерминисты отрицают, что в мире могут существовать отдельные друг от друга события, id est что события могут свершаться сами по себе, монета же символизирует для нас свободу воли. (Я и не подозревал, что эти «мысли» специально плелись против Захира и были первым проявлением его демонического влияния.) Устав от напряженного мудрствования, я заснул, и мне приснилось, что я превратился в монеты, которые охраняет гриф.На следующий день я решил, что был пьян. И все-таки задумал избавиться от монеты, так меня беспокоившей. Я стал ее разглядывать: ничего особенного, разве что царапины, нанесенные ножом. Лучше всего было бы зарыть ее в саду или спрятать где-нибудь в библиотеке, но мне хотелось сойти с ее орбиты. И я надумал потерять ее.";Художественный стиль
Абажур нес на себе одинокий составной китайский иероглиф — Гноссос вывел его дрожащей рукой однажды вечером в ожидании Бет Блэкнесс, которая должна была выписать рецепт для парегорика. Символ извещал, что рюкзак священен и не предназначен для продажи. Перевод сделал Харольд Вонг, наглый, как вся олимпийская сборная.На стенах заметны следы липкой ленты в тех местах, откуда Гноссос в наркотизированной ярости посрывал претенциозно знакомые хозяйские репродукции Дега, Ренуара, Сойера, Утрилло и Мэри Кассатт. В створчатую дверь, отделявшую их от алкоголиков Раджаматту, Гноссос вбил гвоздь и повесил на него рюкзак. Тот распространял вокруг себя слабый аромат заячьих лапок месячной давности и разных восточных штучек, приобретенных в греко-турецкой лавке в негритянском районе города. У камина в пластмассовых крапчатых горшках, которые Гноссос все не мог собраться побрызгать черной краской из пульверизатора, росли два каучуковых саженца. Повсюду раскрытые учебники, на полях нацарапаны пометки, на обложках — рожи. На каждой горизонтальной поверхности стояла по меньшей мере, одна пивная банка, набитая сигаретами, отмокающими в вонючей жидкости. А над каминной полкой, доминируя над всей этой белостенной гостиной, висела привязанная к багету бельевой веревкой пятнадцатого номера гобеленоподобная картина Блэкнесса: человек, отрубающий себе голову.Прежде чем вернуться к колонке редактора, Гноссос дочитал на последней странице пресс-релиз о деле разбитых камней. «Вандализм», — гласил заголовок. «До сих пор никаких следов злоумышленника, уничтожившего коллекцию декана Магнолии». Подзаголовок сообщал, что Проктор Джакан Подозревает Продиктованную Психологическими Мотивами Пьяную Выходку. Оп-ля.;Художественный стиль
